,row,row_name,column,type,x_coord,y_coord,radius,halo,spot_intensity,norm_intensity,note,RT
135,8,H,16,Sample,1683,768,25,,0.5588002949763109,0.9806406331102491,Initial Detection,
136,8,H,17,Sample,1789,767,24,,0.5632679007880401,0.9884808505029169,Initial Detection,
137,8,H,18,Sample,1894,767,24,,0.5697651223709158,0.9998828478600565,Initial Detection,
138,8,H,19,Sample,2001,768,24,,0.5784434287968959,1.015112438796938,Initial Detection,
139,8,H,20,Sample,2109,768,25,,0.5853966522209089,1.0273146754134561,Initial Detection,
140,9,I,1,Sample,93,898,22,,0.5930588494485699,1.0407610926897168,Initial Detection,
141,9,I,2,Sample,197,897,24,,0.5841887789212946,1.0251949742466897,Initial Detection,
142,9,I,3,Sample,303,898,23,,0.5840045660471586,1.0248716984160506,Initial Detection,
143,9,I,4,Sample,410,898,24,,0.5873562840451998,1.030753640299681,Initial Detection,
144,9,I,5,Sample,518,897,24,,0.5891844496322843,1.033961894616771,Initial Detection,
145,9,I,6,Sample,624,897,24,,0.5917272219116825,1.0384242147700378,Initial Detection,
146,9,I,7,Sample,731,897,23,,0.5801876360004279,1.0181733542469191,Initial Detection,
147,9,I,8,Sample,836,895,24,,0.5775731869047226,1.0135852481927596,Initial Detection,
148,9,I,9,Sample,941,896,24,,0.5663323797937283,0.9938587156531464,Initial Detection,
149,9,I,10,Sample,1045,895,24,,0.562202566884775,0.9866112922318068,Initial Detection,
150,9,I,11,Sample,1153,894,24,,0.5577592915310338,0.9788137724467453,Initial Detection,
151,9,I,12,Sample,1259,893,24,,0.5555453260119027,0.9749284764512286,Initial Detection,
152,9,I,13,Sample,1362,893,24,,0.5539889740133055,0.9721972287712118,Initial Detection,
153,9,I,14,Sample,1468,891,23,,0.5561968632207278,0.9760718614256125,Initial Detection,
154,9,I,15,Sample,1577,890,24,,0.5561766349916153,0.9760363628341087,Initial Detection,
155,9,I,16,Sample,1682,891,25,,0.557450677334303,0.9782721842908519,Initial Detection,
156,9,I,17,Sample,1790,891,24,,0.560582645579193,0.9837684865479586,Initial Detection,
157,9,I,18,Sample,1895,890,25,,0.5667000030305784,0.9945038589842645,Initial Detection,
158,9,I,19,Sample,2002,889,24,,0.5718256447352555,1.0034988659152897,Initial Detection,
159,9,I,20,Sample,2111,887,24,,0.5877683885180678,1.0314768439107278,Initial Detection,
160,10,J,1,Control,93,1022,20,,0.5876305220883533,1.0312349016209055,Initial Detection,
161,10,J,2,Control,199,1019,22,,0.5810038489949846,1.0196057293457348,Initial Detection,
