,row_letter,row,column,x_coord,y_coord,radius,hough_peak_int,min_griddist,note,halo_rad,x+y,x-y,spot_intensity,RT
80,E,5,1,96,535,24,0.4305555555555549,3.3143784578999003,kept,,631,-439,0.4719580567930417,400
81,E,5,2,199,537,22,0.4453125,3.43290024668737,kept,,736,-338,0.4512814296249154,405
82,E,5,3,296,540,23,0.4117647058823523,0.7030497409403782,kept,,836,-244,0.4621430231031104,410
83,E,5,4,400,544,21,0.453125,1.6101822445747438,kept,,944,-144,0.4674465355436353,415
84,E,5,5,499,545,24,0.4374999999999994,2.2419444179400307,kept,,1044,-46,0.4471901485993676,420
85,E,5,6,601,554,24,0.3541666666666663,3.688057678680625,kept,,1155,47,0.4453051287490782,425
86,E,5,7,698,554,21,0.3984375,0.5278539017397655,kept,,1252,144,0.4562172318695638,430
87,E,5,8,805,559,21,0.3984375,2.2822949779845145,kept,,1364,246,0.4733076744350497,435
88,E,5,9,906,560,23,0.5735294117647047,3.744334060877384,kept,,1466,346,0.5072077259548848,440
89,E,5,10,1003,563,21,0.3984375,1.9077287288351787,kept,,1566,440,0.5223990059702397,445
90,E,5,11,92,549,20,0.483333333333334,2.2360679774997707,kept,,641,-457,0.5204695376347345,450
91,E,5,12,192,549,21,0.4609375,2.0,kept,,741,-357,0.5302259801396085,455
92,E,5,13,288,549,22,0.3828125,2.4469929772523784,kept,,837,-261,0.5372973300603086,460
93,E,5,14,392,548,22,0.453125,2.594642339978892,kept,,940,-156,0.5104726692325565,465
94,E,5,15,488,548,22,0.5703125,1.069506060763497,kept,,1036,-60,0.5389924336555849,470
95,E,5,16,586,551,20,0.3416666666666669,4.016558547457301,kept,,1137,35,0.4621834308169429,475
96,E,5,17,695,546,21,0.28125,8.408627881585808,kept,,1241,149,0.4400157590083947,480
97,E,5,18,791,545,22,0.359375,2.403662175472137,kept,,1336,246,0.4356396036003273,485
98,E,5,19,893,543,25,0.2777777777777777,4.01258683795113,kept,,1436,350,0.4314452829045065,490
99,E,5,20,993,547,22,,0.0,backfilled,,1540,446,0.4201088987887788,495
100,F,6,20,995,663,22,,0.0,backfilled,,1658,332,0.4336555848511481,500
101,F,6,19,894,663,22,,0.0,backfilled,,1557,231,0.4358012344556576,505
102,F,6,18,792,664,22,0.40625,1.0464977261849646,kept,,1456,128,0.4626481195260175,510
103,F,6,17,691,661,21,0.3203125,3.066226830602312,kept,,1352,30,0.484662242022002,515
104,F,6,16,587,663,21,0.3984375,0.6604490006992592,kept,,1250,-76,0.5211160610560556,520
105,F,6,15,488,662,22,0.515625,1.9255489803354071,kept,,1150,-174,0.615696376438262,525
106,F,6,14,391,662,22,0.6171875,1.1822212815101825,kept,,1053,-271,0.6354799931306886,530
107,F,6,13,292,660,21,0.3984375,4.52314959635553,kept,,952,-368,0.6465658494206544,535
108,F,6,12,192,662,21,0.484375,1.0,kept,,854,-470,0.6220444282813589,540
109,F,6,11,88,665,21,0.3828125,3.6055512754640366,kept,,753,-577,0.6060247901324363,545
110,F,6,10,1005,675,26,0.3947368421052634,6.955601449879273,kept,,1680,330,0.5867482902486085,550
111,F,6,9,900,676,20,0.4416666666666672,1.8587675949058489,kept,,1576,224,0.575290682991383,555
112,F,6,8,801,673,20,0.4583333333333339,1.4220056356740476,kept,,1474,128,0.547639684415755,560
113,F,6,7,699,670,21,0.5390625,2.6953897296852403,kept,,1369,29,0.5675505854067541,565
114,F,6,6,598,665,21,0.484375,2.4264694415249606,kept,,1263,-67,0.6486064389691991,570
115,F,6,5,498,663,22,0.5,2.60263367220714,kept,,1161,-165,0.688551484478387,575
116,F,6,4,396,659,21,0.6640625,1.352589458896036,kept,,1055,-263,0.6653796809810993,580
117,F,6,3,293,655,21,0.5703125,2.3097703347713736,kept,,948,-362,0.6029315796385528,585
118,F,6,2,195,655,23,0.4264705882352935,2.297423494607757,kept,,850,-460,0.5532704993383237,590
119,F,6,1,90,650,22,0.421875,1.725129844422697,kept,,740,-560,0.4933842470527623,595
120,G,7,1,88,766,22,0.5390625,2.937574339066424,kept,,854,-678,0.6506874362315767,600
121,G,7,2,190,768,22,0.4765625,1.8450941064997728,kept,,958,-578,0.8248042751361236,605
122,G,7,3,292,772,22,0.5390625,1.4468317644314466,kept,,1064,-480,0.8060833813174937,610
123,G,7,4,397,776,21,0.40625,3.017810828899412,kept,,1173,-379,0.7950823812265763,615
124,G,7,5,494,780,24,0.4791666666666659,2.356380483333718,kept,,1274,-286,0.7396187532199896,620
125,G,7,6,594,781,23,0.485294117647058,0.9180828339330708,kept,,1375,-187,0.7243668616338859,625
126,G,7,7,694,783,20,0.4750000000000006,1.761149816636779,kept,,1477,-89,0.6962612762776414,630
127,G,7,8,799,788,21,0.5859375,0.5235589321312952,kept,,1587,11,0.7170065965592831,635
128,G,7,9,898,791,22,0.5859375,0.8916064836115914,kept,,1689,107,0.7322827327736866,640
129,G,7,10,1001,794,23,0.4632352941176463,1.5727354593468406,kept,,1795,207,0.7534543544362619,645
130,G,7,11,90,779,22,0.390625,2.236067977499815,kept,,869,-689,0.7586790718348133,650
131,G,7,12,190,779,24,0.4305555555555549,2.8284271247462303,kept,,969,-589,0.7805901546605248,655
132,G,7,13,294,780,22,0.2421875,4.530730260476616,kept,,1074,-486,0.8450768251659243,660
133,G,7,14,393,777,22,,0.0,backfilled,,1170,-384,0.6062207675445241,665
134,G,7,15,494,777,20,0.3750000000000003,2.364601745786956,kept,,1271,-283,0.8182420624097142,670
135,G,7,16,589,776,23,0.4117647058823523,1.1928639611495766,kept,,1365,-187,0.7354082694386358,675
136,G,7,17,692,775,21,0.515625,2.4042307934064246,kept,,1467,-83,0.6280166883858128,680
137,G,7,18,794,777,20,0.5000000000000007,0.3185986765269035,kept,,1571,17,0.5610611065652433,685
138,G,7,19,901,775,20,0.4250000000000005,4.744999989301155,kept,,1676,126,0.503904395349072,690
139,G,7,20,996,773,20,0.3583333333333336,4.351157878971799,kept,,1769,223,0.4846642624076936,695
140,H,8,20,1001,884,22,0.3359375,2.732867935046555,kept,,1885,117,0.4766029234980958,700
141,H,8,19,896,885,22,0.40625,2.987244297277617,kept,,1781,11,0.494283318685537,705
142,H,8,18,798,888,22,0.328125,3.6690388296718073,kept,,1686,-90,0.546611308098716,710
143,H,8,17,695,891,20,0.2666666666666666,4.630807647125117,kept,,1586,-196,0.766621207988605,715
144,H,8,16,591,888,22,,0.0,backfilled,42.0,1479,-297,0.7402551747128526,720
145,H,8,15,494,893,21,0.484375,2.5085956461842667,kept,,1387,-399,0.6340394581325575,725
146,H,8,14,393,892,21,0.640625,2.64196999129057,kept,,1285,-499,0.608071440838056,730
147,H,8,13,293,891,23,0.4926470588235285,3.0492021997348737,kept,,1184,-598,0.6378074774474446,735
148,H,8,12,192,895,22,0.515625,0.785570445255189,kept,51.0,1087,-703,0.6975927104484246,740
149,H,8,11,92,894,20,0.5750000000000004,3.686743736192047,kept,48.0,986,-802,0.723306159145781,745
150,H,8,10,996,909,20,0.5666666666666671,3.2822843707855998,kept,46.0,1905,87,0.7354143305957107,750
151,H,8,9,897,909,21,0.453125,1.3644819769425298,kept,44.0,1806,-12,0.7224838621692881,755
152,H,8,8,797,904,21,,0.0,backfilled,39.0,1701,-107,0.7629239021729249,760
153,H,8,7,688,899,30,0.4261363636363633,4.708366524680382,kept,35.0,1587,-211,0.7884676384721845,765
154,H,8,6,587,898,22,0.3671875,2.237559409119958,kept,,1485,-311,0.8277742421028176,770
155,H,8,5,491,893,23,0.5661764705882342,0.8447721470549172,kept,,1384,-402,0.8102251719853322,775
156,H,8,4,391,891,21,0.625,1.7015158207935197,kept,,1282,-500,0.7843096847188129,780
157,H,8,3,287,889,20,0.5666666666666671,4.256755610343091,kept,,1176,-602,0.6860643896919921,785
158,H,8,2,189,885,20,0.5750000000000004,1.9445577408291217,kept,,1074,-696,0.6721398915052883,790
159,H,8,1,87,882,21,0.53125,2.494338178237147,kept,,969,-795,0.6149144871756018,795
160,I,9,1,85,994,21,0.5859375,1.565057257392492,kept,,1079,-909,0.5819013849743916,800
161,I,9,2,186,995,25,0.4027777777777773,2.0088506426918946,kept,,1181,-809,0.5994767201058682,805
162,I,9,3,288,999,23,0.4044117647058818,0.905614378596838,kept,,1287,-711,0.6164621026153893,810
163,I,9,4,390,1004,21,0.484375,0.9374935055535702,kept,,1394,-614,0.623082906526856,815
164,I,9,5,489,1009,22,0.53125,2.3580303656447272,kept,,1498,-520,0.6887211968764837,820
165,I,9,6,587,1011,21,0.5859375,2.124936113036376,kept,,1598,-424,0.6576173591538624,825
166,I,9,7,691,1016,20,0.4750000000000006,2.3614042574989758,kept,,1707,-325,0.683476275621016,830
167,I,9,8,793,1016,21,0.46875,2.737366043542512,kept,,1809,-223,0.6955480801284964,835
168,I,9,9,895,1022,20,0.4333333333333338,1.3503913121302435,kept,,1917,-127,0.7204735784061178,840
169,I,9,10,994,1023,22,0.46875,2.6666591702285727,kept,,2017,-29,0.738513602246669,845
170,I,9,11,92,1006,22,0.4453125,1.4142135623730447,kept,,1098,-914,0.7775191684092494,850
171,I,9,12,194,1008,20,0.3333333333333335,3.6055512754639576,kept,,1202,-814,0.7788849491367903,855
172,I,9,13,293,1007,23,0.5588235294117636,2.5516174379694574,kept,,1300,-714,0.8005778303078059,860
